ticker,class,figi,isin,und_bench_isin,security,name,type,coupon,cpn_type,dcc,cpn_freq,days_settle,start_date,cpn_first,acc_first,maturity,mty_typ,rank,amt_out,country,currency,status,term,TTM,date,bidPrice,askPrice,bidYield,askYield,midPrice,midYield,calc_yield,calc_zspread,calc_dv01,calc_duration,calc_convexity
AAPL,Corp,BBG004HST0K7,US037833AL42,US912810TZ12,AAPL 3.85 05/04/43,APPLE INC,GLOBAL,3.85,FIXED,30/360,2,2,2013-05-03,2013-11-04,2013-05-03,2043-05-04,AT MATURITY,Sr Unsecured,3000.0,US,USD,ACTV,30.001368925393567,19.069130732375086,2024-04-08,84.578,85.153,5.127,5.074,84.8655,5.1005,5.1004189178347605,18.533830712890513,11.622847722404247,12.721344410706408,214.21372129245904
AAPL,Corp,BBG006F8VWJ7,US037833AT77,US912810TZ12,AAPL 4.45 05/06/44,APPLE INC,GLOBAL,4.45,FIXED,30/360,2,2,2014-05-06,2014-11-06,2014-05-06,2044-05-06,AT MATURITY,Sr Unsecured,1000.0,US,USD,ACTV,30.001368925393567,20.076659822039698,2024-04-08,92.578,93.293,5.042,4.982,92.9355,5.0120000000000005,5.0119549706578255,9.782833274015392,12.599340573036327,12.715945158945386,219.88199659259314
AAPL,Corp,BBG0081TNL50,US037833BA77,US912810TZ12,AAPL 3.45 02/09/45,APPLE INC,GLOBAL,3.45,FIXED,30/360,2,2,2015-02-09,2015-08-09,2015-02-09,2045-02-09,AT MATURITY,Sr Unsecured,2000.0,US,USD,ACTV,30.001368925393567,20.840520191649556,2024-04-08,78.406,78.952,5.152,5.102,78.679,5.127000000000001,5.127133511006832,21.006330063853408,11.724114026726646,13.889087869567204,254.0139418829879
AAPL,Corp,BBG008N1BQC1,US037833BH21,US912810TZ12,AAPL 4 3/8 05/13/45,APPLE INC,GLOBAL,4.375,FIXED,30/360,2,2,2015-05-13,2015-11-13,2015-05-13,2045-05-13,AT MATURITY,Sr Unsecured,2000.0,US,USD,ACTV,30.001368925393567,21.09514031485284,2024-04-08,90.009,90.602,5.157,5.108,90.3055,5.1325,5.132465250790121,21.675823444823674,12.876345584560138,13.14023087803901,236.68778859000855
AAPL,Corp,BBG00C7QBCQ1,US037833BW97,US91282CJZ59,AAPL 4 1/2 02/23/36,APPLE INC,GLOBAL,4.5,FIXED,30/360,2,2,2016-02-23,2016-08-23,2016-02-23,2036-02-23,CALLABLE,Sr Unsecured,1250.0,US,USD,ACTV,20.0,11.876796714579056,2024-04-08,97.413,97.894,4.788,4.733,97.65350000000001,4.7605,4.7604929730296135,-15.0915899686919,9.12404734298485,9.077989465436586,101.38020580470959
AAPL,Corp,BBG00C7QBG91,US037833BX70,US912810TZ12,AAPL 4.65 02/23/46,APPLE INC,GLOBAL,4.65,FIXED,30/360,2,2,2016-02-23,2016-08-23,2016-02-23,2046-02-23,CALLABLE,Sr Unsecured,4000.0,US,USD,ACTV,30.001368925393567,21.87816563997262,2024-04-08,93.47,94.151,5.151,5.096,93.81049999999999,5.1235,5.1234105452895164,20.675403491231272,13.455707949767415,13.41301207296035,246.8528100100902
AAPL,Corp,BBG00C7QB7Q2,US037833BY53,US91282CKH33,AAPL 3 1/4 02/23/26,APPLE INC,GLOBAL,3.25,FIXED,30/360,2,2,2016-02-23,2016-08-23,2016-02-23,2026-02-23,CALLABLE,Sr Unsecured,3250.0,US,USD,ACTV,10.001368925393566,1.8781656399726214,2024-04-08,96.954,97.144,4.974,4.865,97.049,4.9195,4.9194103851914415,-0.20160753510922527,1.761183791087457,1.8046906572359567,4.190391525468004
AAPL,Corp,BBG00DHQX240,US037833BZ29,US91282CKH33,AAPL 2.45 08/04/26,APPLE INC,GLOBAL,2.45,FIXED,30/360,2,2,2016-08-04,2017-02-04,2016-08-04,2026-08-04,CALLABLE,Sr Unsecured,2250.0,US,USD,ACTV,9.998631074606434,2.321697467488022,2024-04-08,94.648,94.84,4.921,4.829,94.744,4.875,4.875241779303929,-3.641648399712365,2.130008158450082,2.2302329466732758,6.149241832926796
AAPL,Corp,BBG00DHQX9M5,US037833CD08,US912810TZ12,AAPL 3.85 08/04/46,APPLE INC,GLOBAL,3.85,FIXED,30/360,2,2,2016-08-04,2017-02-04,2016-08-04,2046-08-04,CALLABLE,Sr Unsecured,2000.0,US,USD,ACTV,29.998631074606433,22.321697467488022,2024-04-08,82.485,83.073,5.183,5.132,82.779,5.1575,5.1575915592139,24.078222271774603,12.612355243576912,14.090592034654204,269.0136872843194
AAPL,Corp,BBG00FXTSMV3,US037833CH12,US912810TZ12,AAPL 4 1/4 02/09/47,APPLE INC,GLOBAL,4.25,FIXED,30/360,2,2,2017-02-09,2017-08-09,2017-02-09,2047-02-09,CALLABLE,Sr Unsecured,1000.0,US,USD,ACTV,29.998631074606433,22.83915126625599,2024-04-08,88.569,89.316,5.103,5.043,88.9425,5.073,5.072795026004314,15.680560713808207,13.289326370352935,13.969875882429788,268.49525609317567
